영어단어,한글단어설명,예문1,예문2,category,deck_group
Fallacious,"틀린, 오류가 있는",His argument is based on a fallacious premise. (그의 주장은 틀린 전제에 기초하고 있습니다.),That is a fallacious belief held by many people. (그것은 많은 사람이 가지고 있는 잘못된 믿음입니다.),COMMUNICATION,LOGIC_CLARITY
Vague,"애매한, 희미한 (구체적 X)",He gave a vague description of the attacker. (그는 공격자에 대해 애매한 묘사를 했습니다.),I have a vague memory of meeting him years ago. (나는 수년 전 그를 만난 희미한 기억이 있습니다.),COMMUNICATION,LOGIC_CLARITY
Incoherent,"앞뒤가 안 맞는, 횡설수설하는",He was drunk and totally incoherent. (그는 술에 취해 완전히 횡설수설했습니다.),The essay was poorly written and incoherent. (그 에세이는 형편없이 쓰여졌고 앞뒤가 맞지 않았습니다.),COMMUNICATION,LOGIC_CLARITY
Irrational,비이성적인,She was acting in an irrational manner due to stress. (그녀는 스트레스로 인해 비이성적인 태도로 행동했습니다.),He has an irrational fear of spiders. (그는 거미에 대해 비이성적인 공포를 가지고 있습니다.),COMMUNICATION,LOGIC_CLARITY
Valid,"타당한, 유효한",You make a valid point about the cost. (당신은 비용에 대해 타당한 지적을 했습니다.),Do you have a valid reason for being late? (지각한 데에 타당한 이유가 있습니까?),COMMUNICATION,LOGIC_CLARITY
Sound,"건전한, 믿을 만한",The advice she gave was sound and practical. (그녀가 준 조언은 건전하고 실용적이었습니다.),His decision was based on sound reasoning. (그의 결정은 탄탄한 추론에 근거했습니다.),COMMUNICATION,LOGIC_CLARITY
Explicit,"명시적인, 노골적인",He gave explicit instructions on what to do. (그는 무엇을 해야 할지 명시적인 지시를 내렸습니다.),The contract contains explicit terms regarding payment. (계약서에는 지불에 관한 명시적인 조항이 포함되어 있습니다.),COMMUNICATION,LOGIC_CLARITY
Implicit,"암시적인, 내포된",There was an implicit threat in his voice. (그의 목소리에는 암시적인 위협이 있었습니다.),We had an implicit agreement to share the work. (우리는 일을 분담하기로 암묵적으로 합의했습니다.),COMMUNICATION,LOGIC_CLARITY
Subtle,미묘한,She made a subtle hint about her birthday gift. (그녀는 생일 선물에 대해 미묘한 힌트를 주었습니다.),There is a subtle difference in meaning between the two words. (두 단어 사이에는 의미상 미묘한 차이가 있습니다.),COMMUNICATION,LOGIC_CLARITY
Nuanced,뉘앙스가 있는 (미묘한 차이),He gave a nuanced performance of the complex character. (그는 복잡한 캐릭터를 뉘앙스 있게 연기했습니다.),We need a nuanced understanding of the political issue. (우리는 그 정치적 문제에 대한 깊이 있는 이해가 필요합니다.),COMMUNICATION,LOGIC_CLARITY
Relevant,"관련 있는, 적절한",Please stick to details relevant to the case. (사건과 관련된 세부 사항에만 집중해 주세요.),His experience is relevant to the job opening. (그의 경력은 공석인 일자리와 관련이 있습니다.),COMMUNICATION,LOGIC_CLARITY
Irrelevant,"무관한, 엉뚱한",That point is irrelevant to our discussion. (그 점은 우리 논의와 무관합니다.),The judge dismissed the evidence as irrelevant. (판사는 그 증거를 무관한 것으로 기각했습니다.),COMMUNICATION,LOGIC_CLARITY
Precise,"정밀한, 꼼꼼한",Please be precise with your measurements. (측정할 때 정밀하게 해주세요.),He gave precise instructions on how to assemble it. (그는 조립 방법에 대해 꼼꼼한 지시를 주었습니다.),COMMUNICATION,LOGIC_CLARITY
Accurate,정확한 (사실과 일치),Is this information accurate and up-to-date? (이 정보는 정확하고 최신입니까?),She gave an accurate description of the event. (그녀는 사건에 대해 정확한 묘사를 했습니다.),COMMUNICATION,LOGIC_CLARITY
Misleading,오해의 소지가 있는,The advertisement was misleading about the price. (그 광고는 가격에 대해 오해의 소지가 있었습니다.),The chart presents misleading statistics. (그 차트는 오해를 불러일으키는 통계를 제시합니다.),COMMUNICATION,LOGIC_CLARITY
Deceptive,"기만적인, 속이는",His calm manner was deceptive; he was actually angry. (그의 침착한 태도는 기만적이었습니다. 그는 사실 화가 나 있었습니다.),Companies should avoid deceptive marketing practices. (기업들은 기만적인 마케팅 관행을 피해야 합니다.),COMMUNICATION,LOGIC_CLARITY
Direct,직접적인,I prefer a direct answer rather than excuses. (나는 변명보다 직접적인 대답을 선호합니다.),She is very direct in her criticism. (그녀는 비판할 때 매우 직설적입니다.),COMMUNICATION,LOGIC_CLARITY
Indirect,"간접적인, 우회적인",He gave an indirect answer to avoid lying. (그는 거짓말을 피하기 위해 우회적인 대답을 했습니다.),She made an indirect reference to the problem. (그녀는 그 문제를 간접적으로 언급했습니다.),COMMUNICATION,LOGIC_CLARITY
Obscure,"모호한, 이해하기 힘든",He used obscure legal terms I didn't understand. (그는 내가 이해하지 못하는 모호한 법률 용어를 사용했습니다.),The meaning of the poem is obscure to many readers. (그 시의 의미는 많은 독자에게 모호합니다.),COMMUNICATION,LOGIC_CLARITY
Clear-cut,명백한,There is no clear-cut solution to this crisis. (이 위기에는 명백한 해결책이 없습니다.),It was a clear-cut case of fraud. (그것은 명백한 사기 사건이었습니다.),COMMUNICATION,LOGIC_CLARITY
Eloquent,"웅변적인, 감동적인",He gave an eloquent speech at the wedding ceremony. (그는 결혼식에서 감동적인 연설을 했습니다.),She is eloquent in her defense of human rights. (그녀는 인권 옹호에 있어 매우 설득력 있고 웅변적입니다.),COMMUNICATION,FLUENCY_DELIVERY
Resonant,울림이 있는,"He has a deep, resonant voice suitable for radio. (그는 라디오에 적합한 깊고 울림이 있는 목소리를 가졌습니다.)",His voice is resonant and commanding in the hall. (그의 목소리는 홀 안에서 울림이 있고 위엄이 있습니다.),COMMUNICATION,FLUENCY_DELIVERY
Spontaneous,즉흥적인,He gave a spontaneous speech without any notes. (그는 메모 없이 즉흥적인 연설을 했습니다.),His laughter was spontaneous and genuine. (그의 웃음은 즉흥적이고 진심이었습니다.),COMMUNICATION,FLUENCY_DELIVERY
Improvised,즉석에서 지어낸,They performed an improvised comedy sketch. (그들은 즉석에서 지어낸 코미디 스케치를 공연했습니다.),He improvised a speech on the spot. (그는 현장에서 즉석 연설을 했습니다.),COMMUNICATION,FLUENCY_DELIVERY
Stutter,말을 더듬다,He has a slight stutter when he is nervous. (그는 긴장하면 말을 약간 더듬습니다.),"""P-p-please don't go,"" he stuttered. (""제-제-제발 가지 마,"" 그가 말을 더듬으며 말했습니다.)",COMMUNICATION,FLUENCY_DELIVERY
Stammer,말을 더듬다 (주저함),She stammered out an apology to the boss. (그녀는 상사에게 더듬거리며 사과했습니다.),He stammered when asked the difficult question. (그는 어려운 질문을 받았을 때 말을 더듬었습니다.),COMMUNICATION,FLUENCY_DELIVERY
Mumble,웅얼거리다,Stop mumbling and speak up clearly. (웅얼거리지 말고 분명하게 크게 말하세요.),He mumbled something under his breath. (그는 작은 목소리로 뭔가 웅얼거렸습니다.),COMMUNICATION,FLUENCY_DELIVERY
Rambling,횡설수설하는,"He gave a long, rambling speech with no point. (그는 요점 없이 길고 횡설수설하는 연설을 했습니다.)",He started rambling about his childhood memories. (그는 어린 시절 추억에 대해 두서없이 이야기하기 시작했습니다.),COMMUNICATION,FLUENCY_DELIVERY
Slur,(발음을) 얼버무리다,His speech was slurred due to the heavy medication. (그의 말투는 강한 약물 때문에 어눌했습니다.),Don't slur your words when giving a presentation. (프레젠테이션할 때 발음을 뭉개지 마세요.),COMMUNICATION,FLUENCY_DELIVERY
Deliberate,"신중한, 또박또박한",She spoke in a deliberate way to ensure clarity. (그녀는 명확성을 위해 또박또박 의도적으로 말했습니다.),There was a deliberate pause before he answered. (그가 대답하기 전에 의도적인 침묵이 있었습니다.),COMMUNICATION,FLUENCY_DELIVERY
Fluent,유창한,She is fluent in three different languages. (그녀는 3개 국어에 유창합니다.),He is a fluent speaker who never pauses. (그는 절대 멈추지 않는 유창한 화자입니다.),COMMUNICATION,FLUENCY_DELIVERY
Monotone,단조로운,The professor spoke in a boring monotone all class. (교수님은 수업 내내 지루하고 단조로운 어조로 말했습니다.),He answered the police in a flat monotone. (그는 경찰에게 억양 없는 단조로운 목소리로 대답했습니다.),COMMUNICATION,FLUENCY_DELIVERY
Expressive,표현력이 풍부한,She has a very expressive voice when reading stories. (그녀는 이야기를 읽어줄 때 매우 표현력이 풍부한 목소리를 냅니다.),Try reading the script with an expressive tone. (표현력 있는 어조로 대본을 읽어보세요.),COMMUNICATION,FLUENCY_DELIVERY
Dynamic,역동적인,He is a dynamic speaker who engages the audience. (그는 청중을 사로잡는 역동적인 연설가입니다.),His presentation style is dynamic and energetic. (그의 프레젠테이션 스타일은 역동적이고 에너지가 넘칩니다.),COMMUNICATION,FLUENCY_DELIVERY
Animated,"생기 있는, 활기찬",They had an animated discussion about politics. (그들은 정치에 대해 활기찬 토론을 벌였습니다.),She became very animated when talking about art. (그녀는 예술에 대해 이야기할 때 매우 생기 있어졌습니다.),COMMUNICATION,FLUENCY_DELIVERY
Audible,들리는,His whisper was barely audible in the noisy room. (그의 속삭임은 시끄러운 방에서 간신히 들릴 정도였습니다.),Make sure your voice is audible to the back row. (당신의 목소리가 뒷줄까지 들리도록 하세요.),COMMUNICATION,FLUENCY_DELIVERY
Inaudible,들리지 않는,She muttered something inaudible and walked away. (그녀는 들리지 않는 말을 중얼거리고 걸어갔습니다.),The sound was almost inaudible from this distance. (이 거리에서는 소리가 거의 들리지 않았습니다.),COMMUNICATION,FLUENCY_DELIVERY
Shrill,"새된, 찢어지는",She shouted in a shrill voice that hurt my ears. (그녀는 내 귀를 아프게 하는 날카로운 목소리로 소리쳤습니다.),A shrill cry of protest came from the crowd. (군중 속에서 날카로운 항의의 외침이 나왔습니다.),COMMUNICATION,FLUENCY_DELIVERY
Husky,허스키한,"He has a sexy, husky voice like a rock star. (그는 록스타처럼 섹시하고 허스키한 목소리를 가졌습니다.)",Her voice sounded husky from crying all night. (밤새 울어서 그녀의 목소리는 잠겨 있었습니다.),COMMUNICATION,FLUENCY_DELIVERY
Soft-spoken,"조곤조곤한, 목소리가 부드러운","He is a gentle, soft-spoken man who rarely shouts. (그는 좀처럼 소리치지 않는 온화하고 조곤조곤한 남자입니다.)","Even though she is soft-spoken, she is very firm. (그녀는 목소리가 부드럽지만, 매우 단호합니다.)",COMMUNICATION,FLUENCY_DELIVERY
Outspoken,거침없이 말하는,She is an outspoken critic of the government policy. (그녀는 정부 정책에 대해 거침없이 비판하는 사람입니다.),He is outspoken about his religious beliefs. (그는 자신의 종교적 신념에 대해 거침없이 말합니다.),COMMUNICATION,FLUENCY_DELIVERY
Vocal,목소리를 높이는,Opponents were very vocal in their disapproval. (반대자들은 불만 표시에 목소리를 높였습니다.),You need to be vocal about your needs to get help. (도움을 받으려면 당신의 필요에 대해 목소리를 내야 합니다.),COMMUNICATION,FLUENCY_DELIVERY
Silver-tongued,언변이 좋은,A silver-tongued salesman sold me this expensive car. (언변 좋은 영업사원이 나에게 이 비싼 차를 팔았습니다.),The silver-tongued politician convinced the voters. (청산유수 같은 정치인이 유권자들을 설득했습니다.),COMMUNICATION,FLUENCY_DELIVERY
Tongue-tied,꿀 먹은 벙어리가 된,I got tongue-tied in front of the large audience. (나는 많은 청중 앞에서 꿀 먹은 벙어리가 되었습니다.),He was tongue-tied with shyness when he met her. (그는 그녀를 만났을 때 수줍어서 말이 안 나왔습니다.),COMMUNICATION,FLUENCY_DELIVERY
Hesitant,주저하는,She gave a hesitant reply to the invitation. (그녀는 초대에 주저하는 대답을 했습니다.),"She sounded hesitant on the phone, as if worried. (그녀는 마치 걱정하는 듯 전화상으로 주저하는 목소리였습니다.)",COMMUNICATION,FLUENCY_DELIVERY
Pausing,중간에 멈추는,Pausing for effect is a good public speaking technique. (효과를 위해 잠시 멈추는 것은 좋은 연설 기술입니다.),He kept pausing to remember the correct words. (그는 맞는 단어를 기억해 내려고 계속 멈췄습니다.),COMMUNICATION,FLUENCY_DELIVERY
Rhythmic,리듬감 있는,We listened to the rhythmic chanting of the monks. (우리는 승려들의 리듬감 있는 독경 소리를 들었습니다.),He spoke in a rhythmic cadence like a poet. (그는 시인처럼 운율 있는 억양으로 말했습니다.),COMMUNICATION,FLUENCY_DELIVERY
Fast-paced,속도가 빠른,It was a fast-paced conversation I could barely follow. (내가 간신히 따라갈 수 있을 정도로 빠른 대화였습니다.),He is a fast-paced talker who hates silence. (그는 침묵을 싫어하는 말이 빠른 사람입니다.),COMMUNICATION,FLUENCY_DELIVERY
Measured,"신중한, 정제된",He replied in measured tones to avoid anger. (그는 화를 피하기 위해 정제된 어조로 대답했습니다.),She gave a measured response to the crisis. (그녀는 위기에 대해 신중한 반응을 보였습니다.),COMMUNICATION,FLUENCY_DELIVERY
Assertive,"단호한, 자기주장이 강한",You need to be more assertive at work to get promoted. (승진하려면 직장에서 더 자기주장이 강해야 합니다.),She is an assertive leader who knows what she wants. (그녀는 자기가 무엇을 원하는지 아는 단호한 리더입니다.),COMMUNICATION,ATTITUDE_TONE
Polite,예의 바른,He gave a polite refusal to the request. (그는 요청에 대해 예의 바르게 거절했습니다.),Always be polite when speaking to elders. (어른들과 이야기할 때는 항상 예의를 갖추세요.),COMMUNICATION,ATTITUDE_TONE
Enthusiastic,열정적인,He is an enthusiastic supporter of the team. (그는 그 팀의 열정적인 지지자입니다.),She was enthusiastic about the new idea. (그녀는 새로운 아이디어에 대해 열정적이었습니다.),COMMUNICATION,ATTITUDE_TONE
Humble,겸손한,He is humble about his huge success. (그는 자신의 큰 성공에 대해 겸손합니다.),He offered a humble apology for the trouble. (그는 문제에 대해 겸손하게 사과했습니다.),COMMUNICATION,ATTITUDE_TONE
Aggressive,공격적인,He used an aggressive tone of voice during the argument. (그는 논쟁 중에 공격적인 어조를 사용했습니다.),The salesperson became aggressive when I refused. (내가 거절하자 영업사원은 공격적으로 변했습니다.),COMMUNICATION,ATTITUDE_TONE
Condescending,거들먹거리는,I hate his condescending tone when he explains things. (나는 그가 설명할 때 거들먹거리는 말투를 정말 싫어합니다.),Don't be condescending to me like I'm a child. (나를 어린애처럼 거들먹거리지 마세요.),COMMUNICATION,ATTITUDE_TONE
Passive,수동적인,Don't be so passive in the meeting; share your ideas. (회의에서 너무 수동적으로 있지 말고 아이디어를 공유하세요.),He gave a passive response to the criticism. (그는 비판에 대해 수동적인 반응을 보였습니다.),COMMUNICATION,ATTITUDE_TONE
Patronizing,"가르치려 드는, 생색내는",He gave me a patronizing smile and patted my head. (그는 가르치려 드는 미소를 지으며 내 머리를 쓰다듬었습니다.),Stop being so patronizing; I know how to do it. (그렇게 생색내지 마세요. 저도 할 줄 압니다.),COMMUNICATION,ATTITUDE_TONE
Defensive,방어적인,He gets defensive whenever I correct his mistakes. (내가 실수를 지적할 때마다 그는 방어적으로 나옵니다.),She adopted a defensive attitude immediately. (그녀는 즉시 방어적인 태도를 취했습니다.),COMMUNICATION,ATTITUDE_TONE
Sarcastic,빈정대는,"(그)sarkazein 살을찢다.  ""Great job,"" he said in a sarcastic tone after I failed. (내가 실패한 후 그는 빈정대는 말투로 ""잘했네""라고 말했습니다.)","She has a dry, sarcastic sense of humor. (그녀는 무뚝뚝하고 빈정대는 유머 감각을 가졌습니다.)",COMMUNICATION,ATTITUDE_TONE
Haughty,거만한,She gave a haughty look and walked away. (그녀는 거만한 눈빛을 보내고 걸어갔습니다.),He let out a haughty laugh at the suggestion. (그는 그 제안에 거만한 웃음을 터뜨렸습니다.),COMMUNICATION,ATTITUDE_TONE
Insincere,가식적인,He gave an insincere smile for the camera. (그는 카메라를 향해 가식적인 미소를 지었습니다.),His praise sounded insincere and forced. (그의 칭찬은 가식적이고 억지스럽게 들렸습니다.),COMMUNICATION,ATTITUDE_TONE
Apathetic,무관심한,a(반대)+ pathos (감정) Voters seem apathetic about the upcoming election. (유권자들은 다가오는 선거에 무관심해 보입니다.),He gave an apathetic response to the urgent news. (그는 긴급 뉴스에 무관심한 반응을 보였습니다.),COMMUNICATION,ATTITUDE_TONE
Arrogant,오만한,He has an arrogant attitude that annoys everyone. (그는 모두를 짜증 나게 하는 오만한 태도를 가졌습니다.),He is too arrogant to listen to advice. (그는 너무 오만해서 조언을 듣지 않습니다.),COMMUNICATION,ATTITUDE_TONE
Rude,무례한,It is rude to interrupt someone speaking. (말하는 사람을 방해하는 것은 무례한 짓입니다.),He made a rude comment about her outfit. (그는 그녀의 옷차림에 대해 무례한 말을 했습니다.),COMMUNICATION,ATTITUDE_TONE
Flippant,"경박한, 건방진","flip 휙 뒤집다. ,  He made a flippant remark about the serious accident. (그는 심각한 사고에 대해 경박한 발언을 했습니다.)",Don't be flippant about safety regulations. (안전 규정에 대해 건방지게 굴지 마세요.),COMMUNICATION,ATTITUDE_TONE
Offensive,"모욕적인, 불쾌한",Offensive language is strictly prohibited here. (여기서 모욕적인 언어는 엄격히 금지됩니다.),I found his jokes offensive and inappropriate. (나는 그의 농담이 불쾌하고 부적절하다고 생각했습니다.),COMMUNICATION,ATTITUDE_TONE
Cynical,냉소적인,He is cynical about politicians and their promises. (그는 정치인들과 그들의 약속에 대해 냉소적입니다.),She has a cynical view of the world. (그녀는 세상을 냉소적으로 바라봅니다.),COMMUNICATION,ATTITUDE_TONE
Ironic,"반어적인, 아이러니한",It is ironic that the firefighter's house burned down. (소방관의 집이 불에 탔다는 것은 아이러니합니다.),He made an ironic comment about the weather. (그는 날씨에 대해 반어적인 말을 했습니다.),COMMUNICATION,ATTITUDE_TONE
Sympathetic,"동정적인, 공감하는",He was a sympathetic listener to her problems. (그는 그녀의 문제에 대해 동정적인 청자였습니다.),She was sympathetic to his financial troubles. (그녀는 그의 재정적 문제에 대해 동정적이었습니다.),COMMUNICATION,ATTITUDE_TONE
Hypocritical,위선적인,It is hypocritical to say one thing and do another. (말하는 것과 행동하는 것이 다른 것은 위선적입니다.),He is a hypocritical politician who lies. (그는 거짓말을 하는 위선적인 정치인입니다.),COMMUNICATION,ATTITUDE_TONE
Empathetic,감정이입하는,An empathetic approach works best in counseling. (감정이입하는 접근 방식이 상담에서 가장 효과적입니다.),Try to be more empathetic to how others feel. (다른 사람들이 어떻게 느끼는지 더 깊이 공감하려고 노력해 보세요.),COMMUNICATION,ATTITUDE_TONE
Hostile,적대적인,The witness was hostile towards the lawyer. (그 목격자는 변호사에게 적대적이었습니다.),The crowd became hostile after the announcement. (발표 후 군중은 적대적으로 변했습니다.),COMMUNICATION,ATTITUDE_TONE
Friendly,우호적인,He gave us a friendly greeting at the door. (그는 문에서 우리에게 우호적인 인사를 건넸습니다.),Keep the tone friendly and professional. (어조를 우호적이고 전문적으로 유지하세요.),COMMUNICATION,ATTITUDE_TONE
Cold,차가운,She gave him a cold stare and said nothing. (그녀는 그에게 차가운 시선을 보내고 아무 말도 하지 않았습니다.),Her voice was cold as ice when she refused. (그녀가 거절할 때 목소리는 얼음처럼 차가웠습니다.),COMMUNICATION,ATTITUDE_TONE
Distant,거리감을 두는,He has been acting distant lately. (그는 최근 들어 거리감을 두고 행동하고 있습니다.),She treats him like a distant relative. (그녀는 그를 먼 친척처럼 대합니다.),COMMUNICATION,ATTITUDE_TONE
Indifferent,"무심한, 관심 없는",He seemed indifferent to the bad news. (그는 나쁜 소식에 무심해 보였습니다.),She gave an indifferent shrug. (그녀는 관심 없다는 듯 어깨를 으쓱했습니다.),COMMUNICATION,ATTITUDE_TONE
Sincere,진심 어린,Please accept my sincere apology. (저의 진심 어린 사과를 받아주세요.),I am sincere in my offer to help you. (당신을 돕겠다는 제 제안은 진심입니다.),COMMUNICATION,ATTITUDE_TONE
Earnest,"성실한, 진지한",He made an earnest request for assistance. (그는 도움을 위해 간곡하고 진지한 요청을 했습니다.),He is an earnest student who studies hard. (그는 열심히 공부하는 성실한 학생입니다.),COMMUNICATION,ATTITUDE_TONE
Respectful,존중하는,The students maintained a respectful silence. (학생들은 존중하는 침묵을 유지했습니다.),Be respectful of others' opinions during the debate. (토론 중에 다른 사람의 의견을 존중하세요.),COMMUNICATION,ATTITUDE_TONE
Concise,간결한,Please keep your weekly report concise. (주간 보고서를 간결하게 작성해 주세요.),He gave a concise summary of the event. (그는 사건에 대해 간결한 요약을 제공했습니다.),COMMUNICATION,BREVITY_VERBOSITY
Brief,"짧은, 잠시의",We had a brief meeting in the hallway. (우리는 복도에서 짧은 회의를 가졌습니다.),"Be brief, I'm in a hurry. (짧게 말하세요, 저 바쁩니다.)",COMMUNICATION,BREVITY_VERBOSITY
Succinct,간단명료한  cinch,She gave a succinct explanation of the plan. (그녀는 계획에 대해 간단명료한 설명을 했습니다.),Put your idea in a succinct sentence. (당신의 아이디어를 간단명료한 문장으로 표현하세요.),COMMUNICATION,BREVITY_VERBOSITY
Laconic,"과묵한, 말수가 적은","His laconic reply was just ""No."" (그의 과묵한 대답은 단지 ""아니오""였습니다.)",The cowboy was a laconic character. (그 카우보이는 말수가 적은 캐릭터였습니다.),COMMUNICATION,BREVITY_VERBOSITY
Reticent,말을 아끼는 (신중함),He is reticent about his past life. (그는 자신의 과거에 대해 말을 아낍니다.),She maintained a reticent attitude. (그녀는 말을 아끼는 태도를 유지했습니다.),COMMUNICATION,BREVITY_VERBOSITY
Taciturn,"무뚝뚝한, 말이 없는",He is a taciturn man who rarely smiles. (그는 좀처럼 웃지 않는 무뚝뚝한 남자입니다.),He sat in taciturn silence. (그는 무뚝뚝하게 침묵 속에 앉아 있었습니다.),COMMUNICATION,BREVITY_VERBOSITY
tacit [tǽsit],무언의,"Despite not yet having signed the contract, both parties had reached a tacit understanding on the key terms and conditions.",The decision to not appeal the verdict was as good as a tacit admission of guilt.항소를 하지 않기로 한 결정은 유죄를 암묵적으로 시인하는 것이나 다름 없었다.,COMMUNICATION,BREVITY_VERBOSITY
Pithy,"함축적인, 핵심을 찌르는",He finished the speech with a pithy quote. (그는 핵심을 찌르는 인용구로 연설을 마쳤습니다.),His comments were pithy and witty. (그의 논평은 함축적이고 재치 있었습니다.),COMMUNICATION,BREVITY_VERBOSITY
Wordy,"말이 많은, 너저분한",I received a wordy email from the manager. (나는 매니저로부터 말이 많은 이메일을 받았습니다.),Avoid being wordy in your writing style. (글을 쓸 때 말이 많아지는 것을 피하세요.),COMMUNICATION,BREVITY_VERBOSITY
Terse,(퉁명스럽게) 간결한,He gave a terse reply and hung up. (그는 퉁명스럽게 짧은 대답을 하고 전화를 끊었습니다.),A terse note was left on the desk. (퉁명스럽게 짧은 메모가 책상 위에 남겨져 있었습니다.),COMMUNICATION,BREVITY_VERBOSITY
Loquacious,수다스러운 (격식)라.Loqui말하다,We have a very loquacious neighbor. (우리는 매우 수다스러운 이웃을 두고 있습니다.),He was in a loquacious mood after dinner. (그는 저녁 식사 후 수다스러운 기분이었습니다.),COMMUNICATION,BREVITY_VERBOSITY
Verbose,장황한,His explanation was too verbose and confusing. (그의 설명은 너무 장황하고 혼란스러웠습니다.),The contract is too verbose to read quickly. (그 계약서는 너무 장황해서 빨리 읽을 수 없습니다.),COMMUNICATION,BREVITY_VERBOSITY
Long-winded,길게 늘어놓는,He bored us with a long-winded speech. (그는 길게 늘어놓는 연설로 우리를 지루하게 했습니다.),He is a long-winded storyteller. (그는 이야기를 길게 늘어놓는 사람입니다.),COMMUNICATION,BREVITY_VERBOSITY
Garrulous,주책없이 수다스러운 (갈갈이),A garrulous old man sat next to me on the bus. (주책없이 수다스러운 노인이 버스에서 내 옆에 앉았습니다.),She became garrulous after a glass of wine. (그녀는 와인 한 잔을 마신 후 수다스러워졌습니다.),COMMUNICATION,BREVITY_VERBOSITY
Comprehensive,포괄적인,This is a comprehensive guide to the city. (이것은 도시에 대한 포괄적인 가이드입니다.),We did a comprehensive review of the data. (우리는 데이터에 대한 포괄적인 검토를 했습니다.),COMMUNICATION,BREVITY_VERBOSITY
Chatty,"수다 떠는, 잡담하는",The taxi driver was very chatty. (택시 운전사는 매우 수다스러웠습니다.),She sent me a chatty letter about her trip. (그녀는 여행에 관한 잡담이 담긴 편지를 보냈습니다.),COMMUNICATION,BREVITY_VERBOSITY
Talkative,말하기 좋아하는,She is a very talkative child. (그녀는 매우 말하기 좋아하는 아이입니다.),He is not usually this talkative. (그는 평소에 이렇게 말이 많지 않습니다.),COMMUNICATION,BREVITY_VERBOSITY
Silent,침묵하는,He remained silent during the interrogation. (그는 심문 중에 침묵을 지켰습니다.),The room was completely silent. (방은 완전히 조용했습니다.),COMMUNICATION,BREVITY_VERBOSITY
Detailed,상세한,Please provide a detailed report. (상세한 보고서를 제공해 주세요.),He gave detailed instructions for the project. (그는 프로젝트에 대해 상세한 지시를 내렸습니다.),COMMUNICATION,BREVITY_VERBOSITY
Elaborate,상세히 설명하다,Please elaborate on your marketing idea. (당신의 마케팅 아이디어에 대해 상세히 설명해 주세요.),He presented an elaborate plan. (그는 정교하고 상세한 계획을 발표했습니다.),COMMUNICATION,BREVITY_VERBOSITY
Exhaustive,"철저한, 남김없는",They conducted an exhaustive search for clues. (그들은 단서를 찾기 위해 철저한 수색을 실시했습니다.),Here is an exhaustive list of rules. (여기 규칙에 대한 빠짐없는 목록이 있습니다.),COMMUNICATION,BREVITY_VERBOSITY
Sketchy,"대략적인, 불완전한",The details of the accident are still sketchy. (사고의 세부 사항은 아직 대략적입니다.),He gave a sketchy plan with few details. (그는 세부 사항이 거의 없는 대략적인 계획을 내놓았습니다.),COMMUNICATION,BREVITY_VERBOSITY
